id	en	en_US	ja	es	ru	de	it	se	pt_BR	es_US	pl	zh	tr	fr
sys_rename	Rename		リネーム	Renombrar	Переименовать	Umbennen	Rinomina	Byt namn	Renomear	Renombrar	Przemianuj	重新命名	Yeniden Adlandır	Renommer
sys_skill	Edit Skills		チェンジスキル	Habilidades	Выбор навыков	Skills bearbeiten	Modifica le Abilità	Redigera färdigheter	Editar Habilidades	Editar habilidades	Edytuj Talenty	修改技能	Becerileri Düzenle	Modifier les compétences
sys_skill_total	Skill Total		スキルトータル	Total de Habilidades	Всего навыков	Gesamte Skills	Abilità Totali	Sammalagd färdighet	Total de Habilidades	Total de Habilidades	Suma Talentów	總共裝備技能	Toplam Beceri	Total de compétences
sys_skill_cost	Skill Cost		スキルコスト	Coste Total	Стоимость навыка	Skill-Kosten	Costo delle Abilità	Färdighetskostnad	Custo de Habilidade	Costo de habilidad	Koszt Talentu	總共使用點數	Beceri Maliyeti	Coût total
sys_sort	Sort		ソート	Ordenar	Отсортировать	Sortieren	Ordina	Sortera	Organizar	Ordenar	Sortuj	分類	Tür	Trier
sys_sort_default	Default		デフォルト	Predeterminado	По умолчанию	Standard	Predefinito	Standard	Padrão	Por defecto	Domyślne	預設	Sıradan	Par défaut
sys_sort_name	Name		名前	Nombre	Название	Name	Nome	Namn	Nome	Nombre	Nazwa	技能名稱	İsim	Nom
sys_sort_cost	Cost		コスト	Coste	Стоимость	Kosten	Costo 	Kostnad	Custo	Costo	Koszt	技能點數	Maliyet	Coût
sys_sort_wind	Wind		ウィンド	Viento	Дух ветра	Wind	Vento	Vind	Vento	Viento	Wiatr	風屬性	Rüzgar	Vent
sys_sort_fire	Fire		ファイア	Fuego	Дух огня	Feuer	Fuoco	Eld	Fogo	Fuego	Ogień	炎屬性	Ateş	Feu
sys_sort_dark	Dark		ダーク	Oscuridad	Дух темноты	Finsternis	Tenebre	Mörk	Escuridão	Sombrío	Mrok	闇屬性	Karanlık	Ténèbres
														
sys_reset	Reset		リセット	Restablecer	Сбросить	Zurücksetzen	Resetta	Återställ	Redefinir	Restablecer	Zresetuj	重置	Tekrarla	Réinitialiser
sys_reset_description	Are you sure you want to reset this preset?		このプリセットをリセットする？	¿Deseas restablecer este conjunto de habilidades?	Вы уверены, что хотите сбросить этот шаблон?	Bist du sicher dass du diese Vorgabe zurücksetzen willst?	Sei sicuro di voler resettare questa preimpostazione?	Är du säker på att du vill återställa den här förinställningen?	Deseja mesmo redefinir este conjunto?	¿Seguro(a) que quieres restablecer este conjunto de habilidades?	Czy na pewno chcesz zresetować ten szablon?	您確定要重置此一組合？	Bu ön ayarı sıfırlamak istediğine emin misin?	Voulez-vous réinitialiser cet ensemble de compétences ?
sys_new_preset	New Preset		新プリセット	Conjunto Nuevo	Новый шаблон	Neue Vorgabe	Nuova Preimpostazione	Ny förinställning	Novo Conjunto	Nuevo conjunto	Nowy Szablon	新組合	Yeni Ön Ayar Oluştur	Nouvel ensemble
sys_delete_preset_description	Are you sure you want to delete this preset?		このプリセットをデリートする？	¿Deseas borrar este conjunto de habilidades?	Вы уверены, что хотите\nудалить данный шаблон?	Bist du sicher, dass du diese Vorgabe löschen willst?	Sei sicuro di volere cancellare questa Preimpostazione?	Är du säker på att du vill radera den här förinställningen?	Deseja mesmo excluir este conjunto?	¿Seguro(a) que quieres borrar este conjunto de habilidades?	Czy na pewno chcesz usunąć ten szablon?	您確定要刪除此組合？	Bu ön ayarı silmek istediğine emin misin?	Voulez-vous effacer cet ensemble de compétences ?
sys_bgm	Change BGM		BGM　へんこう	Cambiar música de fondo	Изменить фоновую музыку	Musik ändern	Cambia musica di sottofondo	Ändra Backgrundsmusik	Alterar música de fundo	Cambiar música de fondo	Muzyka w tle	變更BGM	APM Değiştir	Changer la musique de fond
														
sys_pause	Pause		ポーズ	Pausa	Пауза	Pause	Pausa	Pausa	Pausa	Pausa	Pauza	暫停	Durdur	Pause
pause_continue	Continue		コンティニュー	Continuar	Продолжить	Weiter	Continua	Fortsätt	Continuar	Continuar	Kontynuuj	繼續	Devam et	Continuer 
pause_restart	Restart		リスタート	Reiniciar	Заново	Neustart	Ricomincia	Starta om	Reiniciar	Reiniciar	Zrestartuj	重新來過	Tekrarla	Recommencer
pause_status	Status		ステータス	Estado	Статус	Status	Stato	Status	Status	Estado	Status	狀態	Durum	Statut
pause_quit	Quit		やめる	Salir	Выход	Verlassen	Abbandona	Avsluta	Sair	Salir	Wyjdź	退出	Çık	Quitter 
pause_mission	Mission		ミッション	Misión	Миссия	Mission	Missione	Uppdrag	Missão	Misión	Misja	任務	Görev	Mission 
pause_skill	Skills		スキル	Habilidades	Навыки	Skills	Abilità	Färdigheter	Habilidades	Habilidades	Talenty	技能	Becerliler	Compétences
pause_status_description	Here is Sonic's current status.		現在のソニックのステータスです。	Aquí está el estado actual de Sonic.	Текущий статус Соника.	Hier ist Sonics aktueller Status.	Ecco lo stato attuale di Sonic.	Här är Sonics nuvarande status	Aqui está o estado atual de Sonic.	Este es el estado actual de Sonic.	Oto obecny status Sonica.	索尼克的目前狀態。	İşte Sonic'in son durumu.	Stats actuelles de Sonic 
pause_mission_description	Here is information on\nyour current mission.		現在プレイ中のミッション\n内容を表示します。	Aquí hay información\nsobre la misión actual.	Отобразить содержание текущей миссии.	Hier sind Informationen zu deiner aktuellen Mission.	Ecco le informazioni sulla\ntua attuale missione.	Här är information för\nditt nuvarande uppdrag	Aqui estão as informações\nda sua missão atual.	Esta es la información\nde tu misión actual.	Oto informacje o obecnej misji.	目前任務的資訊。	İşte şu anki\ngörevinle ilgili bilgiler.	Informations de la quête 
pause_skill_description	Here is information on\nyour currently equipped skills.		現在プレイ中のスキルリストです。	Aquí hay información\nsobre las habilidades equipadas.	Список навыков, которыми сейчас снаряжён герой.	Hier sind Informationen zu deiner aktuellen Ausrüstung.	Ecco le informazioni sulle\ntue abilità attualmente equipaggiate.	Här är information för\ndina nuvarande valda färdigheter	Aqui estão as informações das\nsuas habilidades equipadas atualmente.	Esta es la información de\ntus habilidades equipadas.	Oto informacje o wyposażonych talentach.	目前裝備的技能。	İşte şu anda sahip olduğun\nbecerilere ilişkin bilgiler.	Informations de tes équipements actuels 
pause_lv	Level		レベル	Nivel	Уровень	Level	Livello	Nivå	Nível	Nivel	Poziom	等級	Seviye	Niveau 
pause_high_score	High Score		ハイスコア	Mejor Puntuación	Всего очков	Höchstpunktzahl	Punteggio più alto	Topp Poäng	Melhor Pontuação	Mayor puntuación	Najlepszy Wynik	最佳得分	Yüksek Skor	Score le plus élevé 
pause_score	Score		スコア	Puntuación	Очки	Punkte	Punteggio	Poäng	Pontuação	Puntuación	Wynik	得分	Skor	Score le plus élevé 
pause_best_time	Best Time		ベストタイム	Mejor Tiempo	Лучшее время	Bestzeit	Tempo Migliore	Bästa Tid	Melhor Tempo	Mejor tiempo	Najlepszy Czas	最佳時間	En İyi Süre	Meilleur temps
pause_time	Time		タイム	Tiempo	Время	Zeit	Tempo	Tid	Tempo	Tiempo	Czas	時間	Süre	Temps
pause_stage_exp	Stage EXP		ステージ EXP	EXP del Nivel	Уровень опыта	Level EP	PE del livello	Ban EXP	EXP de Nível	EXP del nivel	PD Etapu	關卡獲得EXP	Aşama EXP	XP du niveau 
pause_total_exp	Total EXP		トータル EXP	EXP Total	Всего опыта	Gesamt EP	PE totale	Total EXP	EXP Total	EXP total	Suma PD	總共EXP	Toplam EXP	XP total 
pause_gauge	Soul Gauge		ソウルゲージ	Barra de Almas	Шкала души	Soul Gauge	Barra dell'Anima	Själmätare	Barra Espiritual	Medidor de almas	Pasek Dusz	魂力量表	Ruh Ölçer	Jauge d'Âme
pause_fire_soul	Fire Soul		ファイヤーソウル	Alma Ígnea	Душа огня	Feuerseele	Anima Infuocata	Eldsjäl	Alma de Fogo	Alma de fuego	Ognista Dusza	焰魂	Ateş Ruhu	Âme de Feu 
pause_medal	Medal		メダル	Medalla	Медаль	Medaille	Medaglia	Medalj	Medalha	Medalla	Medal	獎牌	Madalya	Médaille 
pause_no_skill	No skills are currently equipped.		スキルは装備していない。	No tienes equipada ninguna habilidad.	Сейчас Ваш герой ничем не снаряжён.	Es sind gerade keine Skills ausgerüstet.	Nessuna abilità è attualmente equipaggiata.	Inga färdigheter är utrustade för tillfället.	Nenhuma habilidade está equipada no momento.	No hay ninguna habilidad equipada.	Żaden talent nie jest obecnie używany.	目前沒有裝備技能	Şu anda hiçbir beceri donatılmadı.	Aucune compétence n'est actuellement équipée.
														
														
status_header	Status		ステータス	Status	Статус	Status	Stato	Status	Status	Estado	Status	狀態	Durum	Statut
status_level	Level		レベル	Nivel	Уровень	Level	Livello	Nivå	Nível	Nivel	Poziom	等級	Seviye	Niveau
status_ring	Ring Count		リング数	Anillos	Максимум колец	Ringe gesammelt	Numero Anelli	Antal Ringar	Anéis	Anillos	Liczba Pierścieni	金環數	Yüzük Sayısı	Compteur de rings
status_fire_soul	Fire Soul Count		ファイヤーソウル数	Almas Ígneas	Всего Душ огня	Feuerseelen 	Numero Anime Infuocate	Antal Äldsjälar	Almas de Fogo	Almas de fuego	Liczba Ognistych Dusz	焰魂數	Ateş Ruhu Sayısı	Compteur d'âmes de feu
status_skill_points	Skill Points		スキル ポイント	Puntos de Habilidad	Очков навыка	Skillpunkte	Punti Abilità	Färdighetspoäng	Pontos de Habilidade	Puntos de habilidad	Punkty Talentów	技能點數	Beceri Puanları	Points de compétence
status_soul_gauge	Max Soul Gauge		マックスソウルゲージ	Límite de la Barra de Almas	Максимум шкалы души	Soul Gauge Höhe	Barra dell'Anima Massima	Max Själmätare	Limite da Barra Espiritual	Medidor de almas	Maks. Pasek Dusz	最大魂力量表	Maksimum Ruh Ölçütü	Limite de la jauge d'âme
status_total_exp	Total Exp		トータル EXP	EXP Total	Всего опыта	Erfahrungspunkte	EP Totali	Total EXP	Experiência Total	Exp Total	Łączne PD	總EXP	Toplam Tecrübe Puanı	EXP totale
status_next_exp	Next Level Up		次のレベル	Siguiente Nivel	Следующий уровень	Nächstes Level ab	Prossimo Livello	Nästa Nivå Upp	Próximo Nível	Para el próximo nivel	Kolejny Poziom	下次升級所需	Sonraki Seviye Atlama	Prochain niveau
status_next_story	Next Story Mission		次のミッション	Siguiente Misión de la Historia	Сюжетная миссия	Nächste Story Mission	Prossima Missione Storia	Nästa Berättelse Uppdrag	Próxima Missão da Campanha	Próxima misión de la historia	Kolejna Misja Fabularna	下個主線任務	Sonraki Hikaye Görevi	Prochaine mission de l'histoire
														
														
sys_world_locked	You cannot select this world yet.		このステージは　まだ選択できません。	Aún no puedes seleccionar este mundo.	Вы пока не можете выбрать этот мир.	Du kannst diese Welt noch nicht auswählen.	Non puoi ancora selezionare questo mondo.	Du kan inte välja den här världen än.	Você ainda não pode selecionar este mundo.	Aún no puedes elegir este mundo.	Jeszcze nie możesz wybrać tego świata.	您還不能選擇此世界。	Henüz bu bölgeyi seçemezsin.	Tu ne peux pas encore\nséléctionner ce monde.
sys_mode_adventure	Take on the quest to save the\nfading world of the Arabian Nights!		失われつつあるアラビアンナイトの\n世界を冒険します。	¡Emprende la misión de salvar\nel mundo de Las mil y una noches!	Отправимся навстречу приключениям\nв мир исчезающих """Тысячи и одной ночи"""!	Rette die schwindende Welt von\nTausendundeiner Nacht!	Intraprendi la missione per salvare\nil mondo dissolvente delle Mille e una Notte!	Ge dig ut på uppdraget för att rädda\nTusen och en Natts bleknande värld!	Embarque numa missão para salvar o\nmundo em declínio das Mil e uma Noites!	Explora y salva el mundo decadente\nde """Las mil y una noches""".	Podejmij się wyprawy by uratować\nzanikający świat Arabskich Nocy!	踏入逐漸消逝的天方夜譚的\n世界裡展開冒險吧！	Arap Geceleri’nin solmakta olan\ndünyasını kurtarma görevini üstlen!	Pars à l'aventure et sauve le monde\ndes Mille et Une Nuits du néant !
sys_mode_party	Play with up to 4 of your friends\nin this full-scale minigame mode!		1人~4人で遊ぶためのミニゲーム\n満載のパーティーモードーです。	¡Juega con hasta 4 amigos a\nuna multitud de minijuegos!	Режим вечеринки, в котором собраны\nмини-игры для 1-4 человек.	Im Partymodus können bis zu 4\nFreunde an Minispielen teilnehmen!	Gioca fino a 4 amici\nin questa modalità di mini-giochi!	Spela med upp till 4 av dina vänner in det här fullskaliga minispelsläget!	Jogue com até 4 jogadores numa\nvariedade de minigames!	Un modo repleto de minijuegos\npara 1 a 4 jugadores.	Graj z maks. czterema znajomymi w tym\npełnowymiarowym trybie Minigrowym! 	可供1~4人遊玩充滿小遊戲的派對模式！	Bu kapsamlı mini oyun modunda\n4 arkadaşına kadar birlikte oyna!	Joue à des mini-jeux avec jusqu'a 4 de tes amis dans ce mode mini-jeu !
sys_mode_book	You can view the pages\nyou've collected here.		これまで獲得したページを\n見る事ができます。	Aquí puedes ver las páginas\nque has coleccionado.	Просмотреть полученные страницы.	Hier kannst du die Seiten ansehen,\ndie du gesammelt hast.	Qua puoi vedere le pagine\nche hai collezionato.	Du kan titta på sidor som\ndu har samlat här.	Aqui você pode ver as páginas\nque já coletou.	Puedes ver las páginas\nque has reunido aquí.	Tutaj możesz przejrzeć strony,\nktóre zebrałeś/aś.	您可以在此觀賞獲得的書頁。	Topladığın sayfaları burada görüntüleyebilirsin.	Tu peux voir toutes les pages\nque tu as récupérées ici.
sys_mode_option	Change the game's settings.		ゲーム中の設定を変更できます。	Ajusta los parámetros del juego.	Изменить настройки игры.	Ändere die Einstellungen des Spiels.	Cambia le impostazioni di gioco.	Ändra spelets inställningar.	Altere as configurações do jogo.	Cambia los ajustes del juego.	Zmień ustawienia gry.	變更遊戲設定。	Oyun ayarlarını değiştir.	Ceci te permet de modifier\nles paramètres du jeu.
sys_mode_timeattack	Go for the fastest time!		最速タイムを狙え！	¡Compite por los tiempos más rápidos!	Соревнуйтесь за лучшее время!	Wetteifere um die schnellsten Zeiten!	Competi per il tempo più veloce!	Tävla för dem snabbaste tiderna!	Faça o menor tempo que puder!	Intenta llegar más rápido.	Rywalizuj po najlepsze czasy!	挑戰以最快時間通關！	En hızlı süre için yarış!	Établis des records de vitesse !
sys_mode_timeattack_locked	Clear the game at least once to unlock.		ゲームをクリアするとアンロックされる。	Supera el juego al menos una vez para desbloquearlo.	Чтобы разблокировать, пройдите\nигру хотя бы один раз.	Spiel das Spiel einmal durch, um dies freizuschalten.	Completa il gioco almeno una volta per sbloccare questa modalità.	Klara ut spelet minst en gång för att låsa upp.	Conclua o jogo pelo menos uma vez para desbloquear.	Termina el juego al menos\nuna vez para desbloquear esto.	Skończ grę przynajmniej raz by odblokować.	完成遊戲一次即可解鎖。	Kilidi açmak için oyunu en az bir kez tamamla.	Termine le jeu une fois pour débloquer.
														
sys_save_select	Please select the file\nyou would like to play.		始めたいデータを選択してください。	Selecciona el archivo de\nguardado que quieres cargar.	Выберите файл, который хотите загрузить.	Bitte wähle die gewünschte\nDatei aus.	Seleziona il salvataggio\ndove vorresti giocare.	Snälla välj filen som du skulle vilja spela.	Selecione o jogo salvo\nque deseja carregar.	Elige el archivo que quieres usar	Wybierz zapis,\nna którym chcesz grać.	請選擇要遊玩的存檔資料。	Lütfen oynamak istedigin\ndosyayı seç	Sélectionne le ficher que tu souhaites utiliser.
sys_new	New		New	Nuevo	Новое	Neu	Nuovo	Ny	Novo	Nuevo	Nowy	新	Yeni	Nouveau
sys_map	World		ワールド	Mundo	Мир	Welt	Mondo	Värld	Mundo	Mundo	Świat	世界	Dünya	Monde
sys_mission	Mission		ミッション	Misión	Миссия	Mission	Missione	Uppdrag	Missão	Misión	Misja	任務	Görev	Mission 
sys_music_selector	Music Selector		曲セレクター	Selector de Música	Выбор музыки	Musik-Auswahl	Selettore di Musica	Musik Väljare	Seletor de Música	Selector de música	Wybór Muzyki	曲目選擇	Müzik Seçici	Sélectionneur de musique
